canonicalName,RS_value
Wahlenbergia gracilenta,herbaceous
Wahlenbergia gracilis,herbaceous
Wahlenbergia gymnoclada,herbaceous
Wahlenbergia preissii,herbaceous
Wahlenbergia stricta,herbaceous
Wahlenbergia tumidifructa,herbaceous
Celtis philippensis,woody
Apophyllum anomalum,woody
Capparis canescens,woody
Capparis lasiantha,woody
Capparis mitchellii,woody
Capparis umbonata,woody
Scabiosa atropurpurea,herbaceous
Cerastium glomeratum,herbaceous
Cerastium vulgare,herbaceous
Colobanthus affinis,herbaceous
Gypsophila tubulosa,herbaceous
Petrorhagia dubia,herbaceous
Polycarpaea corymbosa,herbaceous
Polycarpaea holtzei,herbaceous
Polycarpaea staminodina,herbaceous
Scleranthus biflorus,herbaceous
Scleranthus brockiei,herbaceous
Scleranthus fasciculatus,herbaceous
Scleranthus pungens,herbaceous
Scleranthus singuliflorus,herbaceous
Silene nocturna,herbaceous
Spergula pentandra,herbaceous
Spergularia diandra,herbaceous
Stellaria pallida,herbaceous
Stellaria pungens,herbaceous
Allocasuarina campestris,woody
Allocasuarina corniculata,woody
Allocasuarina decaisneana,woody
Allocasuarina fraseriana,woody
Allocasuarina humilis,woody
Allocasuarina littoralis,woody
Allocasuarina muelleriana,woody
Allocasuarina nana,woody
Allocasuarina spinosissima,woody
Allocasuarina striata,woody
Allocasuarina verticillata,woody
Casuarina cristata,woody
Casuarina pauper,woody
Denhamia cunninghamii,woody
Denhamia obscura,woody
Denhamia oleaster,woody
Elaeodendron australe,woody
Maytenus sp. Mt Windell (S.van Leeuwen 846),woody
Psammomoya choretroides,woody
Siphonodon australis,herbaceous
Stackhousia aspericocca,herbaceous
Stackhousia intermedia,herbaceous
Stackhousia monogyna,herbaceous
Stackhousia muricata,herbaceous
Stackhousia pulvinaris,herbaceous
Stackhousia subterranea,herbaceous
Centrolepis aristata,herbaceous
Centrolepis drummondiana,herbaceous
Centrolepis exserta,herbaceous
Centrolepis strigosa,herbaceous
Atriplex acutibractea,woody
Atriplex angulata,semi_woody
Atriplex cinerea,woody
Atriplex elachophylla,herbaceous
Atriplex holocarpa,herbaceous
Atriplex incrassata,semi_woody
Atriplex leptocarpa,herbaceous
Atriplex limbata,herbaceous
Atriplex lindleyi,herbaceous
Atriplex muelleri,herbaceous
Atriplex nummularia,woody
Atriplex paludosa,woody
Atriplex rhagodioides,woody
Atriplex semibaccata,herbaceous
Atriplex spongiosa,herbaceous
Atriplex stipitata,woody
Atriplex suberecta,herbaceous
Atriplex turbinata,herbaceous
Atriplex velutinella,woody
Atriplex vesicaria,woody
Chenopodium auricomum,woody
Chenopodium curvispicatum,woody
Chenopodium desertorum,semi_woody
Chenopodium nitrariaceum,woody
Dissocarpus biflorus,semi_woody
Dissocarpus paradoxus,semi_woody
Dysphania cristata,herbaceous
Dysphania kalpari,herbaceous
Dysphania melanocarpa,herbaceous
Dysphania rhadinostachya,herbaceous
Dysphania truncata,herbaceous
Einadia hastata,semi_woody
Einadia nutans,semi_woody
Einadia polygonoides,semi_woody
Einadia trigonos,semi_woody
Enchylaena tomentosa,semi_woody
Eremophea spinosa,semi_woody
Eriochiton sclerolaenoides,woody
Maireana aphylla,woody
Maireana appressa,woody
Maireana astrotricha,woody
Maireana brevifolia,woody
Maireana ciliata,woody
Maireana coronata,woody
Maireana enchylaenoides,woody
Maireana eriantha,woody
Maireana erioclada,woody
Maireana georgei,woody
Maireana integra,woody
Maireana lanosa,woody
Maireana lobiflora,woody
Maireana microphylla,woody
Maireana oppositifolia,woody
Maireana pentagona,woody
Maireana pentatropis,woody
Maireana planifolia,woody
Maireana pyramidata,woody
Maireana radiata,woody
Maireana rohrlachii,woody
Maireana scleroptera,semi_woody
Maireana sedifolia,woody
Maireana spongiocarpa,woody
Maireana tomentosa,woody
Maireana trichoptera,woody
Maireana triptera,woody
Maireana turbinata,woody
Maireana villosa,woody
Malacocera tricornis,semi_woody
Neobassia proceriflora,herbaceous
Osteocarpum acropterum,herbaceous
Osteocarpum dipterocarpum,herbaceous
Osteocarpum salsuginosum,herbaceous
Rhagodia candolleana,woody
Rhagodia crassifolia,woody
Rhagodia drummondii,woody
Rhagodia eremaea,woody
Rhagodia latifolia,woody
Rhagodia parabolica,woody
Rhagodia preissii,woody
Rhagodia spinescens,woody
Rhagodia ulicina,woody
Salsola australis,semi_woody
Sclerolaena anisacanthoides,semi_woody
Sclerolaena articulata,herbaceous
Sclerolaena bicornis,woody
Sclerolaena birchii,woody
Sclerolaena brachyptera,semi_woody
Sclerolaena brevifolia,woody
Sclerolaena calcarata,herbaceous
Sclerolaena constricta,herbaceous
Sclerolaena convexula,semi_woody
Sclerolaena cornishiana,semi_woody
Sclerolaena costata,semi_woody
Sclerolaena cuneata,semi_woody
Sclerolaena decurrens,semi_woody
Sclerolaena densiflora,herbaceous
Sclerolaena deserticola,semi_woody
Sclerolaena diacantha,semi_woody
Sclerolaena divaricata,semi_woody
Sclerolaena eriacantha,herbaceous
Sclerolaena fontinalis,semi_woody
Sclerolaena glabra,herbaceous
Sclerolaena holtiana,semi_woody
Sclerolaena intricata,semi_woody
Sclerolaena johnsonii,herbaceous
Sclerolaena lanicuspis,semi_woody
Sclerolaena limbata,herbaceous
Sclerolaena longicuspis,herbaceous
Sclerolaena muricata,woody
Sclerolaena obliquicuspis,semi_woody
Sclerolaena parallelicuspis,herbaceous
Sclerolaena parviflora,semi_woody
Sclerolaena patenticuspis,semi_woody
Sclerolaena stelligera,semi_woody
Sclerolaena tetracuspis,semi_woody
Sclerolaena tricuspis,semi_woody
Sclerolaena uniflora,herbaceous
Sclerolaena ventricosa,semi_woody
Tecticornia cupuliformis,woody
Tecticornia disarticulata,herbaceous
Tecticornia halocnemoides,woody
Tecticornia indica,woody
Tecticornia lylei,woody
Tecticornia pergranulata,woody
Tecticornia tenuis,semi_woody
Tecticornia triandra,woody
Threlkeldia diffusa,woody
Parinari nonda,woody
Cleome oxalidea,herbaceous
Cleome uncifera,herbaceous
Cleome viscosa,herbaceous
Burchardia umbellata,herbaceous
Schelhammera multiflora,herbaceous
Wurmbea biglandulosa,herbaceous
Wurmbea dioica,herbaceous
Wurmbea inframediana,herbaceous
Lumnitzera racemosa,woody
Macropteranthes kekwickii,woody
Terminalia aridicola,woody
Terminalia bursarina,woody
Terminalia canescens,woody
Terminalia carpentariae,woody
Terminalia ferdinandiana,woody
Terminalia grandiflora,woody
Terminalia latipes,woody
Terminalia platyphylla,woody
Terminalia platyptera,woody
Terminalia pterocarya,woody
Terminalia subacroptera,woody
Terminalia volucris,woody
Cartonema spicatum,herbaceous
Commelina diffusa,herbaceous
Commelina ensifolia,herbaceous
Cyanotis axillaris,herbaceous
Murdannia graminea,herbaceous
Bonamia alatisemina,herbaceous
Bonamia brevifolia,herbaceous
Bonamia erecta,semi_woody
Bonamia media,herbaceous
Bonamia pannosa,herbaceous
Bonamia pilbarensis,herbaceous
Bonamia rosea,semi_woody
Convolvulus angustissimus,herbaceous
Convolvulus clementii,herbaceous
Convolvulus eyreanus,herbaceous
Convolvulus graminetinus,herbaceous
Convolvulus recurvatus,herbaceous
Convolvulus remotus,herbaceous
Cressa australis,semi_woody
Cuscuta planiflora,herbaceous
Cuscuta victoriana,herbaceous
Davenportia davenportii,herbaceous
Dichondra repens,herbaceous
Dichondra sp. Inglewood (J.M.Dalby 86/93),herbaceous
Duperreya commixta,herbaceous
Duperreya sericea,herbaceous
Evolvulus alsinoides,herbaceous
Ipomoea coptica,herbaceous
Ipomoea diversifolia,herbaceous
Ipomoea eriocarpa,herbaceous
Ipomoea lonchophylla,herbaceous
Ipomoea muelleri,herbaceous
Ipomoea plebeia,herbaceous
Ipomoea polymorpha,herbaceous
Jacquemontia browniana,herbaceous
Merremia quinata,herbaceous
Operculina aequisepala,herbaceous
Polymeria ambigua,herbaceous
Polymeria longifolia,herbaceous
Xenostegia tridentata,herbaceous
Bryophyllum x houghtonii,herbaceous
Crassula colligata,herbaceous
Crassula colorata,herbaceous
Crassula decumbens,herbaceous
Crassula sieberiana,herbaceous
Cucumis althaeoides,herbaceous
Cucumis melo,herbaceous
Callicoma serratifolia,woody
Abildgaardia ovata,herbaceous
Arthrostylis aphylla,herbaceous
Bolboschoenus caldwellii,herbaceous
Bulbostylis barbata,herbaceous
Bulbostylis turbinata,herbaceous
Carex appressa,herbaceous
Carex breviculmis,herbaceous
Carex declinata,herbaceous
Carex gaudichaudiana,herbaceous
Carex hebes,herbaceous
Carex incomitata,herbaceous
Carex inversa,herbaceous
Carex jackiana,herbaceous
Carpha alpina,herbaceous
Carpha nivicola,herbaceous
Caustis flexuosa,herbaceous
Caustis pentandra,herbaceous
Caustis recurvata,herbaceous
Chrysitrix distigmatosa,herbaceous
Cladium procerum,herbaceous
Cyperus alterniflorus,herbaceous
Cyperus aquatilis,herbaceous
Cyperus astartodes,herbaceous
Cyperus betchei,herbaceous
Cyperus bifax,herbaceous
Cyperus breviculmis,herbaceous
Cyperus clarus,herbaceous
Cyperus concinnus,herbaceous
Cyperus conicus,herbaceous
Cyperus decompositus,herbaceous
Cyperus esculentus,herbaceous
Cyperus fulvus,herbaceous
Cyperus gilesii,herbaceous
Cyperus gracilis,herbaceous
Cyperus gymnocaulos,herbaceous
Cyperus holoschoenus,herbaceous
Cyperus iria,herbaceous
Cyperus nervulosus,herbaceous
Cyperus pulchellus,herbaceous
Cyperus scaber,herbaceous
Cyperus sexflorus,herbaceous
Cyperus squarrosus,herbaceous
Cyperus vaginatus,herbaceous
Cyperus victoriensis,herbaceous
Eleocharis acuta,herbaceous
Eleocharis caespitosissima,herbaceous
Eleocharis equisetina,herbaceous
Eleocharis pallens,herbaceous
Fimbristylis acicularis,herbaceous
Fimbristylis ammobia,herbaceous
Fimbristylis bisumbellata,herbaceous
Fimbristylis caespitosa,herbaceous
Fimbristylis cinnamometorum,herbaceous
Fimbristylis depauperata,herbaceous
Fimbristylis dichotoma,herbaceous
Fimbristylis furva,herbaceous
Fimbristylis insignis,herbaceous
Fimbristylis leucocolea,herbaceous
Fimbristylis littoralis,herbaceous
Fimbristylis macrantha,herbaceous
Fimbristylis microcarya,herbaceous
Fimbristylis oxystachya,herbaceous
Fimbristylis pachyptera,herbaceous
Fimbristylis recta,herbaceous
Fimbristylis schultzii,herbaceous
Fimbristylis simplex,herbaceous
Fimbristylis squarrulosa,herbaceous
Fimbristylis subaristata,herbaceous
Fimbristylis tetragona,herbaceous
Fimbristylis xyridis,herbaceous
Fuirena ciliaris,herbaceous
Fuirena incrassata,herbaceous
Fuirena umbellata,herbaceous
Gahnia aspera,herbaceous
Gahnia deusta,herbaceous
Gahnia microstachya,herbaceous
Gahnia sieberiana,herbaceous
Isolepis aucklandica,herbaceous
Isolepis marginata,herbaceous
Lepidosperma canescens,herbaceous
Lepidosperma carphoides,herbaceous
Lepidosperma congestum,herbaceous
Lepidosperma curtisiae,herbaceous
Lepidosperma gunnii,herbaceous
Lepidosperma laterale,herbaceous
Lepidosperma leptostachyum,herbaceous
Lepidosperma semiteres,herbaceous
Lepidosperma squamatum,herbaceous
Lepidosperma viscidum,herbaceous
Lipocarpha microcephala,herbaceous
Mesomelaena preissii,herbaceous
Mesomelaena stygia,herbaceous
Oreobolus distichus,herbaceous
Ptilothrix deusta,herbaceous
Rhynchospora brownii,herbaceous
Rhynchospora exserta,herbaceous
Rhynchospora leae,herbaceous
Rhynchospora longisetis,herbaceous
Rhynchospora pterochaeta,herbaceous
Schoenus apogon,herbaceous
Schoenus breviculmis,herbaceous
Schoenus caespititius,herbaceous
Schoenus calcatus,herbaceous
Schoenus calostachyus,herbaceous
Schoenus calyptratus,herbaceous
Schoenus curvifolius,herbaceous
Schoenus ericetorum,herbaceous
Schoenus hexandrus,herbaceous
Schoenus imberbis,herbaceous
Schoenus melanostachys,herbaceous
Schoenus nanus,herbaceous
Schoenus nitens,herbaceous
Schoenus pleiostemoneus,herbaceous
Schoenus sparteus,herbaceous
Schoenus subaphyllus,herbaceous
Schoenus sublateralis,herbaceous
Scleria brownii,herbaceous
Scleria laxa,herbaceous
Scleria polycarpa,herbaceous
Scleria pygmaea,herbaceous
Scleria rugosa,herbaceous
Scleria sphacelata,herbaceous
Tricostularia neesii,herbaceous
Tricostularia undulata,herbaceous
Dasypogon bromeliifolius,herbaceous
Hibbertia araneolifera,woody
Hibbertia bracteata,woody
Hibbertia candicans,woody
